relative_im_path,class,xmin,xmax,ymin,ymax
datasets/197/173.jpg,197,608,475,1509,845,
datasets/197/157.jpg,197,133,192,889,508,
datasets/197/69.jpg,197,22,109,630,372,
datasets/197/165.jpg,197,261,448,1626,908,
datasets/197/138.jpg,197,69,53,435,280,
datasets/197/6.jpg,197,210,253,1759,834,
datasets/197/96.jpg,197,65,87,443,265,
datasets/197/54.jpg,197,46,154,679,421,
datasets/197/149.jpg,197,1192,1044,3472,2214,
datasets/197/81.jpg,197,14,9,285,182,
datasets/197/76.jpg,197,55,196,1544,751,
datasets/197/78.jpg,197,35,23,313,166,
datasets/197/178.jpg,197,145,243,721,517,
datasets/197/61.jpg,197,48,191,1555,778,
datasets/197/7.jpg,197,142,272,981,669,
datasets/197/105.jpg,197,285,694,1494,1034,
datasets/197/152.jpg,197,125,211,660,445,
datasets/197/154.jpg,197,23,41,461,232,
datasets/197/134.jpg,197,121,77,291,149,
datasets/197/148.jpg,197,181,292,1103,666,
datasets/197/15.jpg,197,92,58,650,379,
datasets/197/156.jpg,197,239,244,1234,649,
datasets/197/93.jpg,197,38,147,612,393,
datasets/197/194.jpg,197,287,348,1309,647,
datasets/197/42.jpg,197,217,406,1574,1111,
datasets/197/199.jpg,197,97,57,245,151,
datasets/197/88.jpg,197,45,87,617,367,
datasets/197/2.jpg,197,485,401,1717,915,
datasets/197/86.jpg,197,155,1355,3475,2579,
datasets/197/127.jpg,197,129,163,1824,953,
datasets/197/121.jpg,197,26,67,463,280,
datasets/197/24.jpg,197,98,119,523,316,
datasets/197/198.jpg,197,125,57,1172,456,
datasets/197/176.jpg,197,700,544,1600,1029,
datasets/197/103.jpg,197,28,67,760,411,
datasets/197/68.jpg,197,127,224,1872,990,
datasets/197/13.jpg,197,1133,1303,4450,3093,
datasets/197/162.jpg,197,44,84,606,372,
datasets/197/55.jpg,197,294,226,1262,609,
datasets/197/5.jpg,197,50,89,428,194,
datasets/197/130.jpg,197,84,346,965,743,
datasets/197/30.jpg,197,21,76,619,347,
datasets/197/40.jpg,197,16,219,828,508,
datasets/197/147.jpg,197,39,103,432,286,
datasets/197/39.jpg,197,272,816,1930,1305,
datasets/197/124.jpg,197,15,52,283,167,
datasets/197/18.jpg,197,273,513,1584,893,
datasets/197/115.jpg,197,25,107,573,336,
datasets/197/169.jpg,197,715,895,2464,1834,
datasets/197/16.jpg,197,243,141,1091,647,
datasets/197/177.jpg,197,84,214,1218,711,
datasets/197/3.jpg,197,178,333,1716,908,
datasets/197/100.jpg,197,204,226,1097,593,
datasets/197/144.jpg,197,70,121,646,384,
datasets/197/27.jpg,197,557,606,1530,898,
datasets/197/19.jpg,197,70,192,1211,549,
datasets/197/64.jpg,197,244,155,775,363,
datasets/197/189.jpg,197,192,148,731,454,
datasets/197/37.jpg,197,53,151,766,482,
datasets/197/107.jpg,197,287,188,1206,596,
datasets/197/36.jpg,197,236,307,1764,990,
datasets/197/181.jpg,197,61,151,690,359,
datasets/197/131.jpg,197,22,58,435,225,
datasets/197/112.jpg,197,126,75,666,310,
datasets/197/25.jpg,197,123,150,646,420,
datasets/197/74.jpg,197,815,162,1095,310,
datasets/197/91.jpg,197,453,997,2224,2090,
datasets/197/108.jpg,197,75,53,607,332,
datasets/197/52.jpg,197,61,76,574,329,
datasets/197/110.jpg,197,14,16,320,222,
datasets/197/145.jpg,197,35,165,1193,653,
datasets/197/106.jpg,197,108,256,1181,776,
datasets/197/164.jpg,197,402,411,1647,1042,
datasets/197/104.jpg,197,27,84,621,390,
datasets/197/28.jpg,197,51,125,944,597,
datasets/197/101.jpg,197,946,1729,5538,3961,
datasets/197/60.jpg,197,454,307,1268,733,
datasets/197/84.jpg,197,123,241,810,517,
datasets/197/46.jpg,197,110,135,587,328,
datasets/197/191.jpg,197,325,247,948,507,
datasets/197/114.jpg,197,50,54,246,137,
datasets/197/118.jpg,197,10,74,312,219,
datasets/197/51.jpg,197,87,104,961,565,
datasets/197/187.jpg,197,93,1265,1362,1609,
datasets/197/111.jpg,197,188,497,4315,3042,
datasets/197/119.jpg,197,926,794,4712,3010,
datasets/197/155.jpg,197,80,65,586,358,
datasets/197/53.jpg,197,35,152,595,389,
datasets/197/102.jpg,197,142,139,955,527,
datasets/197/160.jpg,197,335,697,1365,1017,
datasets/197/186.jpg,197,130,276,1874,966,
datasets/197/128.jpg,197,32,138,618,391,
datasets/197/23.jpg,197,115,203,776,471,
datasets/197/32.jpg,197,61,89,435,269,
datasets/197/85.jpg,197,73,122,497,316,
