relative_im_path,class,,,,,
datasets/225/101.jpg,29,421,313,1602,1166,0
datasets/225/102.jpg,29,317,131,447,200,0
datasets/225/103.jpg,29,340,573,403,700,0
datasets/225/104.jpg,29,45,27,599,439,0
datasets/225/105.jpg,29,282,93,1175,642,0
datasets/225/106.jpg,29,160,30,749,540,0
datasets/225/107.jpg,29,860,285,1706,1167,0
datasets/225/108.jpg,29,602,110,885,523,0
datasets/225/109.jpg,29,5,52,974,738,0
datasets/225/10.jpg,29,122,465,358,554,0
datasets/225/110.jpg,29,200,565,329,672,0
datasets/225/112.jpg,29,121,107,861,521,0
datasets/225/113.jpg,29,376,158,730,436,0
datasets/225/114.jpg,29,143,58,387,276,0
datasets/225/115.jpg,29,385,133,668,254,0
datasets/225/116.jpg,29,89,471,277,723,0
datasets/225/117.jpg,29,188,86,361,280,0
datasets/225/118.jpg,29,1605,104,3125,410,0
datasets/225/119.jpg,29,668,341,1394,919,0
datasets/225/11.jpg,29,402,131,1106,636,0
datasets/225/120.jpg,29,783,291,1213,617,0
datasets/225/121.jpg,29,145,170,1726,992,0
datasets/225/122.jpg,29,174,31,485,452,0
datasets/225/123.jpg,29,90,31,317,617,0
datasets/225/124.jpg,29,222,157,1421,1106,0
datasets/225/125.jpg,29,13,1,286,233,0
datasets/225/126.jpg,29,553,428,1191,858,0
datasets/225/127.jpg,29,813,384,1271,765,0
datasets/225/128.jpg,29,80,26,686,461,0
datasets/225/129.jpg,29,199,126,579,315,0
datasets/225/12.jpg,29,95,126,612,384,0
datasets/225/130.jpg,29,85,18,1812,1020,0
datasets/225/131.jpg,29,105,21,223,223,0
datasets/225/132.jpg,29,24,36,544,323,0
datasets/225/133.jpg,29,18,15,817,942,0
datasets/225/134.jpg,29,141,312,1531,581,0
datasets/225/135.jpg,29,445,25,786,406,0
datasets/225/136.jpg,29,493,287,877,520,0
datasets/225/137.jpg,29,355,238,659,357,0
datasets/225/138.jpg,29,419,177,610,340,0
datasets/225/139.jpg,29,26,51,649,467,0
datasets/225/13.jpg,29,297,91,706,611,0
datasets/225/140.jpg,29,46,65,580,377,0
datasets/225/141.jpg,29,363,101,1566,997,0
datasets/225/142.jpg,29,172,21,415,563,0
datasets/225/143.jpg,29,1,102,879,602,0
datasets/225/144.jpg,29,34,11,585,258,0
datasets/225/145.jpg,29,5,37,587,391,0
datasets/225/146.jpg,29,514,280,724,666,0
datasets/225/147.jpg,29,210,77,655,410,0
datasets/225/148.jpg,29,180,53,342,286,0
datasets/225/149.jpg,29,1425,226,2257,1700,0
datasets/225/14.jpg,29,320,123,806,621,0
datasets/225/150.jpg,29,428,61,788,410,0
