relative_im_path,class,bbox_x1,bbox_y1,bbox_x2,bbox_y2,test
car_ims/000001.jpg,1,112,7,853,717,0
car_ims/000002.jpg,1,48,24,441,202,0
car_ims/000003.jpg,1,7,4,277,180,0
car_ims/000004.jpg,1,33,50,197,150,0
car_ims/000005.jpg,1,5,8,83,58,0
car_ims/000006.jpg,1,10,6,250,110,0
car_ims/000007.jpg,1,56,1,394,176,0
car_ims/000008.jpg,1,1,13,113,83,0
car_ims/000009.jpg,1,15,111,271,272,0
car_ims/000010.jpg,1,14,18,148,107,0
car_ims/000011.jpg,1,5,8,91,59,0
car_ims/000012.jpg,1,29,18,157,86,0
car_ims/000013.jpg,1,1,1,300,179,0
car_ims/000014.jpg,1,9,1,152,103,0
car_ims/000015.jpg,1,4,15,94,63,0
car_ims/000016.jpg,1,12,16,117,71,0
car_ims/000017.jpg,1,1,5,160,89,0
car_ims/000018.jpg,1,46,84,661,428,0
car_ims/000019.jpg,1,86,81,371,252,0
car_ims/000020.jpg,1,26,32,677,418,0
car_ims/000021.jpg,1,50,127,587,396,0
car_ims/000022.jpg,1,6,9,124,89,0
car_ims/000023.jpg,1,52,25,751,507,0
car_ims/000024.jpg,1,3,23,132,98,0
car_ims/000025.jpg,1,60,76,593,393,0
car_ims/000026.jpg,1,21,18,492,316,0
car_ims/000027.jpg,1,11,31,490,266,0
car_ims/000028.jpg,1,8,3,135,86,0
car_ims/000029.jpg,1,30,65,331,199,0
car_ims/000030.jpg,1,5,14,93,58,0
car_ims/000031.jpg,1,125,645,1845,1421,0
car_ims/000032.jpg,1,20,48,385,283,0
car_ims/000033.jpg,1,51,73,570,426,0
car_ims/000034.jpg,1,79,469,1537,1198,0
car_ims/000035.jpg,1,18,18,328,190,0
car_ims/000036.jpg,1,13,235,2021,1253,0
car_ims/000037.jpg,1,6,20,123,88,0
car_ims/000038.jpg,1,26,25,283,157,0
car_ims/000039.jpg,1,61,98,458,376,0
car_ims/000040.jpg,1,111,213,907,683,0
car_ims/000041.jpg,1,178,214,901,658,0
car_ims/000042.jpg,1,9,14,490,368,0
car_ims/000043.jpg,1,28,48,663,302,0
car_ims/000044.jpg,1,4,9,96,88,0
car_ims/000045.jpg,1,6,7,94,68,0
car_ims/000046.jpg,1,14,16,268,169,1
car_ims/000047.jpg,1,10,18,89,61,1
car_ims/000048.jpg,1,111,54,365,190,1
car_ims/000049.jpg,1,9,33,479,276,1
car_ims/000050.jpg,1,9,3,93,41,1
car_ims/000051.jpg,1,15,10,128,76,1
car_ims/000052.jpg,1,11,60,796,535,1
car_ims/000053.jpg,1,92,93,585,399,1
car_ims/000054.jpg,1,5,9,87,61,1
car_ims/000055.jpg,1,8,5,85,69,1
car_ims/000056.jpg,1,70,94,439,341,1
car_ims/000057.jpg,1,87,6,552,348,1
car_ims/000058.jpg,1,28,14,118,80,1
car_ims/000059.jpg,1,11,8,106,80,1
car_ims/000060.jpg,1,53,108,544,413,1
car_ims/000061.jpg,1,31,12,270,160,1
car_ims/000062.jpg,1,4,13,145,109,1
car_ims/000063.jpg,1,8,12,135,83,1
car_ims/000064.jpg,1,11,16,135,93,1
car_ims/000065.jpg,1,28,117,415,274,1
car_ims/000066.jpg,1,45,39,729,414,1
car_ims/000067.jpg,1,3,3,639,480,1
car_ims/000068.jpg,1,18,30,133,93,1
car_ims/000069.jpg,1,24,141,721,396,1
car_ims/000070.jpg,1,31,20,226,119,1
car_ims/000071.jpg,1,17,23,240,135,1
car_ims/000072.jpg,1,6,20,137,73,1
car_ims/000073.jpg,1,111,177,920,642,1
car_ims/000074.jpg,1,32,69,487,316,1
car_ims/000075.jpg,1,2,7,102,57,1
car_ims/000076.jpg,1,26,62,763,504,1
car_ims/000077.jpg,1,46,115,623,469,1
car_ims/000078.jpg,1,25,123,589,421,1
car_ims/000079.jpg,1,20,79,654,425,1
car_ims/000080.jpg,1,5,14,160,114,1
car_ims/000081.jpg,1,62,73,718,441,1
car_ims/000082.jpg,1,5,4,136,87,1
car_ims/000083.jpg,1,67,98,283,213,1
car_ims/000084.jpg,1,40,60,354,237,1
car_ims/000085.jpg,1,12,18,113,78,1
car_ims/000086.jpg,1,26,72,774,480,1
car_ims/000087.jpg,1,24,1,368,199,1
car_ims/000088.jpg,1,2,13,160,120,1
car_ims/000089.jpg,1,11,13,84,60,1
car_ims/000090.jpg,2,434,441,1805,1126,0
car_ims/000091.jpg,2,104,183,842,608,0
car_ims/000092.jpg,2,7,133,716,444,0
car_ims/000093.jpg,2,8,29,444,213,0
car_ims/000094.jpg,2,150,102,877,444,0
car_ims/000095.jpg,2,139,416,1954,1149,0
car_ims/000096.jpg,2,2,24,288,129,0
car_ims/000097.jpg,2,115,63,817,324,0
car_ims/000098.jpg,2,84,189,573,376,0
car_ims/000099.jpg,2,13,256,769,532,0
car_ims/000100.jpg,2,30,16,430,215,0
car_ims/000101.jpg,2,32,32,438,394,0
car_ims/000102.jpg,2,16,115,445,269,0
car_ims/000103.jpg,2,34,53,270,139,0
