relative_im_path,,class,bbox_x1,bbox_y1,bbox_x2,bbox_y2,test
datasets/197/102.jpg,,197,1819,355,4412,2511,0
datasets/197/103.jpg,,197,633,219,1957,1114,0
datasets/197/104.jpg,,197,12,81,872,602,0
datasets/197/105.jpg,,197,223,28,534,468,0
datasets/197/106.jpg,,197,145,10,481,470,0
datasets/197/107.jpg,,197,86,39,344,310,0
datasets/197/108.jpg,,197,193,5,567,426,0
datasets/197/109.jpg,,197,177,6,571,432,0
datasets/197/10.jpg,,197,438,169,1963,1042,0
datasets/197/110.jpg,,197,172,14,591,448,0
datasets/197/111.jpg,,197,788,322,1272,888,0
datasets/197/112.jpg,,197,206,32,647,511,0
datasets/197/113.jpg,,197,3119,2134,4944,3412,0
datasets/197/114.jpg,,197,3,70,866,666,0
datasets/197/115.jpg,,197,81,2,274,240,0
datasets/197/116.jpg,,197,494,243,984,770,0
datasets/197/117.jpg,,197,518,478,1190,959,0
datasets/197/118.jpg,,197,245,390,1624,2294,0
datasets/197/119.jpg,,197,191,51,1559,820,0
datasets/197/11.jpg,,197,484,208,967,805,0
datasets/197/120.jpg,,197,90,33,314,257,0
datasets/197/121.jpg,,197,730,237,1463,859,0
datasets/197/122.jpg,,197,159,1,527,463,0
datasets/197/123.jpg,,197,1408,690,2604,1393,0
datasets/197/124.jpg,,197,619,93,1113,540,0
datasets/197/125.jpg,,197,26,8,265,190,0
datasets/197/126.jpg,,197,114,26,447,397,0
datasets/197/127.jpg,,197,487,169,779,443,0
datasets/197/128.jpg,,197,682,583,1100,814,0
datasets/197/129.jpg,,197,152,18,499,139,1
datasets/197/12.jpg,,197,403,108,953,698,1
datasets/197/130.jpg,,197,607,47,1019,284,1
datasets/197/131.jpg,,197,109,14,519,475,1
datasets/197/132.jpg,,197,158,6,479,480,1
datasets/197/133.jpg,,197,576,290,1233,708,1
datasets/197/134.jpg,,197,190,19,532,460,1
datasets/197/135.jpg,,197,124,22,584,412,1
datasets/197/136.jpg,,197,172,19,479,484,1
datasets/197/138.jpg,,197,189,55,970,619,1
datasets/197/139.jpg,,197,227,26,555,400,1
datasets/197/13.jpg,,197,440,243,1125,679,1
datasets/197/140.jpg,,197,101,2,873,675,1
datasets/197/141.jpg,,197,108,19,618,509,1
datasets/197/142.jpg,,197,169,49,1000,713,1
datasets/197/143.jpg,,197,168,40,1117,847,1
datasets/197/144.jpg,,197,530,127,1306,308,1
datasets/197/145.jpg,,197,382,144,613,557,1
datasets/197/146.jpg,,197,257,112,1136,741,1
datasets/197/147.jpg,,197,466,105,1226,960,0
datasets/197/148.jpg,,197,105,11,505,372,0
datasets/197/149.jpg,,197,189,41,634,536,0
datasets/197/14.jpg,,197,613,225,1279,948,0
datasets/197/150.jpg,,197,110,79,452,474,0
datasets/197/151.jpg,,197,420,12,628,301,0
datasets/197/152.jpg,,197,746,484,1049,958,0
datasets/197/153.jpg,,197,106,21,431,385,0
datasets/197/154.jpg,,197,1932,1024,2948,2057,0
datasets/197/155.jpg,,197,51,129,788,524,0
datasets/197/156.jpg,,197,3,8,304,238,0
datasets/197/157.jpg,,197,108,19,478,475,0
datasets/197/158.jpg,,197,1129,230,1539,866,0
datasets/197/159.jpg,,197,856,160,1725,980,0
datasets/197/15.jpg,,197,91,67,308,194,0
datasets/197/160.jpg,,197,351,39,1367,880,0
datasets/197/161.jpg,,197,6,22,679,499,0
datasets/197/16.jpg,,197,650,143,1602,1102,0
datasets/197/17.jpg,,197,942,149,1613,886,0
datasets/197/18.jpg,,197,270,71,603,375,0
datasets/197/19.jpg,,197,125,44,369,336,0
datasets/197/1.jpg,,197,82,60,989,507,0
datasets/197/20.jpg,,197,190,43,744,425,0
datasets/197/21.jpg,,197,362,88,1414,1174,0
datasets/197/22.jpg,,197,204,73,488,400,0
datasets/197/23.jpg,,197,89,51,683,370,0
datasets/197/24.jpg,,197,135,22,521,342,0
datasets/197/25.jpg,,197,347,65,867,435,0
datasets/197/26.jpg,,197,376,80,906,615,0
datasets/197/27.jpg,,197,136,6,518,431,0
datasets/197/28.jpg,,197,227,82,656,428,1
datasets/197/29.jpg,,197,450,235,1501,893,1
datasets/197/2.jpg,,197,97,26,243,139,1
datasets/197/30.jpg,,197,336,37,986,706,1
datasets/197/31.jpg,,197,138,43,329,291,1
datasets/197/32.jpg,,197,608,178,1679,1168,1
datasets/197/33.jpg,,197,1054,323,1568,888,1
datasets/197/34.jpg,,197,154,31,575,400,1
datasets/197/35.jpg,,197,197,36,653,592,1
datasets/197/36.jpg,,197,227,33,508,341,1
datasets/197/37.jpg,,197,647,535,3519,2045,1
datasets/197/38.jpg,,197,1889,768,4457,2967,1
datasets/197/39.jpg,,197,179,28,544,472,1
datasets/197/3.jpg,,197,719,260,1547,854,1
datasets/197/40.jpg,,197,575,112,1947,884,1
datasets/197/41.jpg,,197,459,74,1696,1161,1
datasets/197/42.jpg,,197,51,280,202,454,1
datasets/197/43.jpg,,197,49,37,447,207,1
datasets/197/44.jpg,,197,1452,140,2285,1075,1
datasets/197/45.jpg,,197,58,71,845,596,1
datasets/197/46.jpg,,197,67,12,527,467,0
datasets/197/47.jpg,,197,179,13,477,488,0
datasets/197/48.jpg,,197,487,220,1109,589,0
datasets/197/49.jpg,,197,503,80,1254,420,0
datasets/197/4.jpg,,197,585,315,1373,1188,0
datasets/197/50.jpg,,197,217,0,473,446,0
datasets/197/51.jpg,,197,11,1,799,450,0
datasets/197/52.jpg,,197,136,64,552,466,0
datasets/197/53.jpg,,197,362,149,803,500,0
datasets/197/54.jpg,,197,598,116,1694,1069,0
datasets/197/55.jpg,,197,344,156,1060,278,0
datasets/197/56.jpg,,197,71,49,774,282,0
datasets/197/57.jpg,,197,429,150,1096,712,0
datasets/197/58.jpg,,197,911,178,1724,1205,0
datasets/197/59.jpg,,197,175,58,557,327,0
datasets/197/5.jpg,,197,726,62,1663,1019,0
datasets/197/60.jpg,,197,378,173,691,676,0
datasets/197/61.jpg,,197,210,24,599,459,0
datasets/197/62.jpg,,197,363,88,609,444,0
datasets/197/63.jpg,,197,357,61,838,856,0
datasets/197/64.jpg,,197,229,66,345,227,0
datasets/197/65.jpg,,197,109,4,509,423,0
datasets/197/66.jpg,,197,1,1,948,649,0
datasets/197/67.jpg,,197,266,76,1182,368,0
datasets/197/68.jpg,,197,302,193,752,658,0
datasets/197/69.jpg,,197,294,19,1150,1048,0
datasets/197/6.jpg,,197,565,79,1668,981,0
datasets/197/70.jpg,,197,1225,561,3449,2913,0
datasets/197/71.jpg,,197,233,19,548,482,0
datasets/197/72.jpg,,197,336,56,714,394,0
datasets/197/73.jpg,,197,76,30,398,147,1
datasets/197/74.jpg,,197,73,14,528,421,1
datasets/197/75.jpg,,197,321,0,752,560,1
datasets/197/76.jpg,,197,512,282,918,694,1
datasets/197/77.jpg,,197,300,162,490,328,1
datasets/197/78.jpg,,197,951,357,1608,784,1
datasets/197/79.jpg,,197,428,136,1072,370,1
datasets/197/7.jpg,,197,146,30,325,264,1
datasets/197/80.jpg,,197,390,422,1306,670,1
datasets/197/81.jpg,,197,424,125,1228,935,1
datasets/197/82.jpg,,197,258,0,531,469,1
datasets/197/83.jpg,,197,87,29,482,392,1
datasets/197/84.jpg,,197,253,33,1005,832,1
datasets/197/85.jpg,,197,230,51,482,300,1
datasets/197/86.jpg,,197,319,100,724,223,1
datasets/197/87.jpg,,197,403,153,860,541,1
datasets/197/88.jpg,,197,92,131,191,196,1
datasets/197/89.jpg,,197,321,86,692,623,1
datasets/197/8.jpg,,197,447,116,1513,1007,1
datasets/197/90.jpg,,197,321,86,692,623,1
datasets/197/91.jpg,,197,148,11,428,471,0
datasets/197/92.jpg,,197,5,302,170,363,0
datasets/197/93.jpg,,197,614,159,1734,1003,0
datasets/197/94.jpg,,197,271,141,657,438,0
datasets/197/95.jpg,,197,74,51,771,281,0
datasets/197/96.jpg,,197,173,60,481,352,0
datasets/197/97.jpg,,197,243,74,893,580,0
datasets/197/98.jpg,,197,281,6,515,488,0
datasets/197/99.jpg,,197,103,18,200,195,0
datasets/197/9.jpg,,197,80,27,304,173,0
datasets/198/11.jpg,,198,154,81,1712,1133,0
datasets/198/12.jpg,,198,562,60,1633,958,0
datasets/198/13.jpg,,198,370,208,2191,775,0
datasets/198/14.jpg,,198,114,25,406,230,0
datasets/198/15.jpg,,198,572,168,2050,1157,0
datasets/198/16.jpg,,198,126,28,939,434,0
datasets/198/17.jpg,,198,86,38,548,340,0
datasets/198/18.jpg,,198,99,16,571,401,0
datasets/198/19.jpg,,198,140,86,823,521,0
datasets/198/1.jpg,,198,903,300,1747,1235,0
datasets/198/20.jpg,,198,335,182,1003,675,0
datasets/198/21.jpg,,198,286,125,1124,706,0
datasets/198/22.jpg,,198,361,113,918,647,0
datasets/198/23.jpg,,198,60,60,778,440,0
datasets/198/24.jpg,,198,216,74,861,703,0
datasets/198/25.jpg,,198,293,100,1055,689,0
datasets/198/26.jpg,,198,563,97,1608,1069,0
