"relative_im_path","class","bbox_x1","bbox_y1","bbox_x2","bbox_y2","test"
"car_ims/000001.jpg",1,119,15,873,715,0
"car_ims/000002.jpg",1,42,26,438,199,0
"car_ims/000003.jpg",1,17,12,270,178,0
"car_ims/000004.jpg",1,33,52,191,144,0
"car_ims/000005.jpg",1,8,14,81,55,0
"car_ims/000006.jpg",1,25,5,246,109,0
"car_ims/000007.jpg",1,56,4,398,176,0
"car_ims/000008.jpg",1,1,11,113,82,0
"car_ims/000009.jpg",1,109,18,173,153,0
"car_ims/000010.jpg",1,17,21,143,107,0
"car_ims/000011.jpg",1,2,9,91,65,0
"car_ims/000012.jpg",1,28,16,155,85,0
"car_ims/000013.jpg",1,58,11,294,170,0
"car_ims/000014.jpg",1,14,0,146,102,0
"car_ims/000015.jpg",1,4,13,90,59,0
"car_ims/000016.jpg",1,7,21,115,76,0
"car_ims/000017.jpg",1,3,4,156,84,0
"car_ims/000018.jpg",1,61,91,647,427,0
"car_ims/000019.jpg",1,86,82,369,252,0
"car_ims/000020.jpg",1,2,196,34,231,0
"car_ims/000021.jpg",1,38,138,578,396,0
"car_ims/000022.jpg",1,7,11,127,87,0
"car_ims/000023.jpg",1,54,41,752,503,0
"car_ims/000024.jpg",1,5,16,129,95,0
"car_ims/000025.jpg",1,65,74,583,395,0
"car_ims/000026.jpg",1,32,23,478,312,0
"car_ims/000027.jpg",1,13,35,482,262,0
"car_ims/000028.jpg",1,8,3,129,71,0
"car_ims/000029.jpg",1,35,68,324,197,0
"car_ims/000030.jpg",1,4,13,92,58,0
"car_ims/000031.jpg",1,122,650,1905,1408,0
"car_ims/000032.jpg",1,11,54,377,283,0
"car_ims/000033.jpg",1,49,84,569,423,0
"car_ims/000034.jpg",1,21,480,1538,1189,0
"car_ims/000035.jpg",1,17,19,327,186,0
"car_ims/000036.jpg",1,36,221,2006,1254,0
"car_ims/000037.jpg",1,0,19,17,36,0
"car_ims/000038.jpg",1,25,27,286,155,0
"car_ims/000039.jpg",1,13,153,75,230,0
"car_ims/000040.jpg",1,107,219,892,682,0
"car_ims/000041.jpg",1,175,225,903,655,0
"car_ims/000042.jpg",1,15,20,488,362,0
"car_ims/000043.jpg",1,20,43,669,289,0
"car_ims/000044.jpg",1,0,11,96,90,0
"car_ims/000045.jpg",1,7,7,92,65,0
"car_ims/000046.jpg",1,14,19,257,160,1
"car_ims/000047.jpg",1,6,13,92,59,1
"car_ims/000048.jpg",1,115,57,355,194,1
"car_ims/000049.jpg",1,21,32,471,270,1
"car_ims/000050.jpg",1,9,3,93,41,1
"car_ims/000051.jpg",1,16,9,127,75,1
"car_ims/000052.jpg",1,0,56,800,534,1
"car_ims/000053.jpg",1,110,100,576,397,1
"car_ims/000054.jpg",1,1,10,87,60,1
"car_ims/000055.jpg",1,3,4,82,66,1
"car_ims/000056.jpg",1,73,93,438,338,1
"car_ims/000057.jpg",1,82,9,548,333,1
"car_ims/000058.jpg",1,29,16,109,67,1
"car_ims/000059.jpg",1,5,6,101,78,1
"car_ims/000060.jpg",1,46,111,541,406,1
"car_ims/000061.jpg",1,30,15,273,162,1
"car_ims/000062.jpg",1,6,14,147,104,1
"car_ims/000063.jpg",1,8,15,132,79,1
"car_ims/000064.jpg",1,12,18,131,92,1
"car_ims/000065.jpg",1,407,150,444,185,1
"car_ims/000066.jpg",1,58,47,728,412,1
"car_ims/000067.jpg",1,2,8,640,471,1
"car_ims/000068.jpg",1,18,27,135,94,1
"car_ims/000069.jpg",1,30,142,732,395,1
"car_ims/000070.jpg",1,32,20,224,113,1
"car_ims/000071.jpg",1,13,26,241,129,1
"car_ims/000072.jpg",1,8,15,133,71,1
"car_ims/000073.jpg",1,130,194,903,634,1
"car_ims/000074.jpg",1,7,63,488,319,1
"car_ims/000075.jpg",1,30,5,101,52,1
"car_ims/000076.jpg",1,15,61,763,500,1
"car_ims/000077.jpg",1,47,117,640,459,1
"car_ims/000078.jpg",1,563,251,640,326,1
"car_ims/000079.jpg",1,33,90,652,420,1
"car_ims/000080.jpg",1,9,17,157,115,1
"car_ims/000081.jpg",1,84,73,711,444,1
"car_ims/000082.jpg",1,9,7,130,81,1
"car_ims/000083.jpg",1,65,92,282,212,1
"car_ims/000084.jpg",1,45,68,351,227,1
"car_ims/000085.jpg",1,9,6,112,77,1
"car_ims/000086.jpg",1,16,68,795,479,1
"car_ims/000087.jpg",1,26,0,367,194,1
"car_ims/000088.jpg",1,0,14,160,111,1
"car_ims/000089.jpg",1,9,6,84,57,1
"car_ims/000090.jpg",2,450,453,1791,1118,0
"car_ims/000091.jpg",2,106,194,839,599,0
"car_ims/000092.jpg",2,8,138,705,433,0
"car_ims/000093.jpg",2,9,32,439,198,0
"car_ims/000094.jpg",2,161,106,878,437,0
"car_ims/000095.jpg",2,178,426,1920,1141,0
"car_ims/000096.jpg",2,5,24,282,127,0
