"relative_im_path","class","xmin","ymin","xmax","ymax"
"car_ims/000003.jpg",1,17,12,270,178
"car_ims/000004.jpg",1,33,52,191,144
"car_ims/000008.jpg",1,1,11,113,82
"car_ims/000010.jpg",1,17,21,143,107
"car_ims/000011.jpg",1,2,9,91,65
"car_ims/000013.jpg",1,58,11,294,170
"car_ims/000016.jpg",1,7,21,115,76
"car_ims/000017.jpg",1,3,4,156,84
"car_ims/000025.jpg",1,65,74,583,395
"car_ims/000026.jpg",1,32,23,478,312
"car_ims/000029.jpg",1,35,68,324,197
"car_ims/000030.jpg",1,4,13,92,58
"car_ims/000031.jpg",1,122,650,1905,1408
"car_ims/000032.jpg",1,11,54,377,283
"car_ims/000033.jpg",1,49,84,569,423
"car_ims/000034.jpg",1,21,480,1538,1189
"car_ims/000035.jpg",1,17,19,327,186
"car_ims/000036.jpg",1,36,221,2006,1254
"car_ims/000041.jpg",1,175,225,903,655
"car_ims/000042.jpg",1,15,20,488,362
"car_ims/000044.jpg",1,0,11,96,90
"car_ims/000045.jpg",1,7,7,92,65
"car_ims/000046.jpg",1,14,19,257,160
"car_ims/000047.jpg",1,6,13,92,59
"car_ims/000048.jpg",1,115,57,355,194
"car_ims/000049.jpg",1,21,32,471,270
"car_ims/000052.jpg",1,0,56,800,534
"car_ims/000053.jpg",1,110,100,576,397
"car_ims/000059.jpg",1,5,6,101,78
"car_ims/000061.jpg",1,30,15,273,162
"car_ims/000062.jpg",1,6,14,147,104
"car_ims/000063.jpg",1,8,15,132,79
"car_ims/000065.jpg",1,407,150,444,185
"car_ims/000067.jpg",1,2,8,640,471
"car_ims/000068.jpg",1,18,27,135,94
"car_ims/000069.jpg",1,30,142,732,395
"car_ims/000070.jpg",1,32,20,224,113
"car_ims/000071.jpg",1,13,26,241,129
"car_ims/000073.jpg",1,130,194,903,634
"car_ims/000079.jpg",1,33,90,652,420
"car_ims/000080.jpg",1,9,17,157,115
"car_ims/000084.jpg",1,45,68,351,227
"car_ims/000085.jpg",1,9,6,112,77
"car_ims/000086.jpg",1,16,68,795,479
"car_ims/000088.jpg",1,0,14,160,111
"car_ims/000090.jpg",2,450,453,1791,1118
"car_ims/000093.jpg",2,9,32,439,198
"car_ims/000094.jpg",2,161,106,878,437
"car_ims/000099.jpg",2,9,256,769,523
"car_ims/000100.jpg",2,28,18,414,209
"car_ims/000107.jpg",2,68,173,611,420
"car_ims/000112.jpg",2,39,0,735,495
"car_ims/000113.jpg",2,12,34,240,122
"car_ims/000114.jpg",2,22,68,438,261
"car_ims/000116.jpg",2,74,170,667,394
"car_ims/000117.jpg",2,102,59,455,316
"car_ims/000119.jpg",2,20,23,439,288
"car_ims/000120.jpg",2,44,92,410,237
"car_ims/000121.jpg",2,19,142,589,360
"car_ims/000123.jpg",2,88,52,736,314
"car_ims/000125.jpg",2,26,52,588,394
"car_ims/000127.jpg",2,97,15,874,322
"car_ims/000129.jpg",2,0,34,37,109
"car_ims/000132.jpg",2,59,115,644,449
"car_ims/000134.jpg",2,7,106,297,199
"car_ims/000135.jpg",2,28,100,558,342
"car_ims/000136.jpg",2,29,58,265,174
"car_ims/000137.jpg",2,19,100,529,293
"car_ims/000138.jpg",2,74,84,511,298
"car_ims/000142.jpg",2,57,91,458,242
"car_ims/000143.jpg",2,132,43,853,612
"car_ims/000144.jpg",2,20,89,692,411
"car_ims/000145.jpg",2,25,170,573,409
"car_ims/000146.jpg",2,28,32,387,211
"car_ims/000147.jpg",2,243,498,1337,953
"car_ims/000150.jpg",2,19,93,467,263
"car_ims/000151.jpg",2,37,34,280,185
"car_ims/000152.jpg",2,88,243,714,466
"car_ims/000153.jpg",2,29,41,620,337
"car_ims/000154.jpg",3,32,75,266,165
"car_ims/000156.jpg",3,16,36,243,145
"car_ims/000157.jpg",3,21,100,608,366
"car_ims/000158.jpg",3,72,140,841,571
"car_ims/000159.jpg",3,63,237,862,564
"car_ims/000160.jpg",3,151,132,469,413
"car_ims/000161.jpg",3,18,98,459,293
"car_ims/000162.jpg",3,53,111,588,340
"car_ims/000163.jpg",3,137,132,526,325
"car_ims/000166.jpg",3,52,41,506,229
"car_ims/000167.jpg",3,84,101,681,410
"car_ims/000168.jpg",3,41,81,576,335
"car_ims/000169.jpg",3,48,61,261,140
"car_ims/000171.jpg",3,56,99,557,314
"car_ims/000174.jpg",3,9,83,248,180
"car_ims/000175.jpg",3,49,154,596,365
"car_ims/000176.jpg",3,22,59,467,283
