relative_im_path,class,xmin,ymin,xmax,ymax
car_ims/004173.jpg,52,65,72,475,286
car_ims/000537.jpg,7,103,129,572,305
car_ims/013862.jpg,169,33,29,611,370
car_ims/005920.jpg,73,17,121,275,211
car_ims/007137.jpg,88,145,53,489,424
car_ims/006507.jpg,80,10,42,456,332
car_ims/010724.jpg,130,38,68,697,445
car_ims/009164.jpg,112,66,163,975,622
car_ims/011098.jpg,135,101,90,465,355
car_ims/002410.jpg,30,73,282,932,694
car_ims/011294.jpg,137,46,118,604,341
car_ims/012193.jpg,148,1,41,44,82
car_ims/014091.jpg,171,17,149,1003,585
car_ims/011195.jpg,136,48,79,350,193
car_ims/013964.jpg,170,225,163,1710,1157
car_ims/008368.jpg,103,37,65,282,187
car_ims/011160.jpg,135,12,28,242,153
car_ims/007209.jpg,88,8,27,291,156
car_ims/005252.jpg,65,51,81,616,409
car_ims/009379.jpg,115,19,137,471,333
car_ims/006561.jpg,81,10,22,676,451
car_ims/011704.jpg,143,230,52,259,82
car_ims/000880.jpg,11,26,85,610,380
car_ims/003510.jpg,44,210,48,263,87
car_ims/002567.jpg,32,22,80,571,430
car_ims/011137.jpg,135,123,112,584,410
car_ims/004898.jpg,61,55,62,619,370
car_ims/010374.jpg,126,67,148,533,349
car_ims/012716.jpg,155,78,38,559,408
car_ims/004529.jpg,56,91,92,376,268
car_ims/004222.jpg,53,4,82,241,188
car_ims/007790.jpg,95,18,133,606,366
car_ims/001512.jpg,19,62,23,491,319
car_ims/015914.jpg,193,28,78,488,317
car_ims/005013.jpg,62,240,53,245,61
car_ims/000915.jpg,12,13,13,228,152
car_ims/013090.jpg,160,63,68,761,443
car_ims/014222.jpg,173,341,230,1562,847
car_ims/012173.jpg,148,3,18,264,169
car_ims/015018.jpg,183,188,215,498,369
car_ims/012721.jpg,155,117,93,265,177
car_ims/003567.jpg,44,13,47,252,129
car_ims/012779.jpg,156,149,46,217,74
car_ims/001765.jpg,22,128,172,753,487
car_ims/011579.jpg,141,59,235,955,580
car_ims/005606.jpg,70,15,35,234,160
car_ims/015516.jpg,189,61,86,423,250
car_ims/001382.jpg,18,40,86,475,231
car_ims/015731.jpg,191,20,4,635,321
car_ims/010086.jpg,119,580,168,619,189
car_ims/003492.jpg,43,66,121,935,523
car_ims/008640.jpg,106,50,54,770,484
car_ims/013328.jpg,162,10,41,289,198
car_ims/009192.jpg,112,26,241,796,478
car_ims/009780.jpg,120,20,92,560,318
car_ims/007797.jpg,96,26,165,1990,1257
car_ims/001356.jpg,17,1,27,209,119
car_ims/002555.jpg,32,163,148,727,583
car_ims/011888.jpg,145,1490,387,1811,538
car_ims/010447.jpg,127,34,86,593,284
car_ims/007685.jpg,94,44,96,588,412
car_ims/014357.jpg,175,27,54,281,187
car_ims/015921.jpg,193,43,16,629,245
car_ims/005459.jpg,68,732,155,776,311
car_ims/010873.jpg,132,57,69,965,587
car_ims/014511.jpg,177,36,48,425,238
car_ims/015963.jpg,194,232,224,979,618
car_ims/006982.jpg,86,55,137,589,421
car_ims/005578.jpg,69,28,107,465,262
car_ims/010524.jpg,128,12,64,282,141
car_ims/013055.jpg,159,30,77,592,363
car_ims/001710.jpg,21,48,82,275,197
car_ims/005474.jpg,68,40,76,466,298
car_ims/007057.jpg,87,50,157,607,362
car_ims/013921.jpg,170,54,353,1548,1053
car_ims/002445.jpg,31,17,61,185,117
car_ims/003949.jpg,49,394,286,3432,2337
car_ims/013442.jpg,164,960,112,1047,189
car_ims/005750.jpg,72,4,12,253,182
car_ims/004184.jpg,52,461,112,640,276
car_ims/011670.jpg,142,14,38,303,187
car_ims/008256.jpg,101,195,114,479,321
car_ims/016103.jpg,195,63,35,572,335
car_ims/013653.jpg,166,5,37,557,374
car_ims/009244.jpg,113,61,118,530,365
car_ims/008869.jpg,109,29,49,235,130
car_ims/010257.jpg,124,25,33,431,272
car_ims/015981.jpg,194,30,47,596,425
car_ims/006097.jpg,75,20,91,607,395
car_ims/004923.jpg,61,148,168,774,410
car_ims/006117.jpg,76,44,91,679,406
car_ims/002207.jpg,28,134,91,1134,849
car_ims/003181.jpg,39,326,332,1016,629
car_ims/008121.jpg,100,270,372,1118,818
car_ims/008400.jpg,103,59,209,973,589
car_ims/002508.jpg,31,66,29,598,414
car_ims/014394.jpg,175,35,133,401,233
car_ims/004003.jpg,50,72,152,732,436
car_ims/013764.jpg,168,228,215,1141,542
car_ims/000765.jpg,10,61,157,562,359
car_ims/000460.jpg,6,30,96,489,269
car_ims/005438.jpg,67,438,118,479,153
car_ims/013428.jpg,164,115,183,1458,883
car_ims/010510.jpg,127,31,48,371,222
car_ims/004054.jpg,51,16,21,241,153
car_ims/000277.jpg,4,18,133,602,441
car_ims/003620.jpg,45,154,194,1056,553
car_ims/008917.jpg,109,14,39,510,279
car_ims/014824.jpg,180,30,0,77,126
car_ims/003347.jpg,42,1,45,45,95
car_ims/003214.jpg,40,192,75,1065,703
car_ims/000478.jpg,6,29,147,699,380
car_ims/002982.jpg,37,34,108,407,281
car_ims/004572.jpg,57,9,39,136,73
car_ims/011380.jpg,139,36,27,474,301
car_ims/006000.jpg,74,37,115,400,288
car_ims/014498.jpg,177,20,42,266,158
car_ims/012641.jpg,154,53,128,629,388
car_ims/000984.jpg,13,75,23,589,370
car_ims/015134.jpg,184,111,99,584,410
car_ims/000055.jpg,1,3,4,82,66
car_ims/001819.jpg,23,19,47,282,180
car_ims/003309.jpg,41,12,208,794,486
car_ims/015431.jpg,188,52,16,242,159
car_ims/002288.jpg,29,5,49,289,175
car_ims/000040.jpg,1,107,219,892,682
car_ims/008215.jpg,101,24,13,584,390
car_ims/014852.jpg,181,52,91,1227,630
car_ims/002613.jpg,32,457,131,613,228
car_ims/002556.jpg,32,207,516,1495,1202
car_ims/001092.jpg,14,16,41,249,153
